Rk	team	categories	R1	R2	R3	R4	Pts	Spk	1sts	2nds
1	We bet you didn&#x27;t expect this one		3rd	1st	1st	1st	10	647	3	0
2	Akofena Reunion		2nd	1st	3rd	1st	9	645	2	1
3	HUJI cAll to order		1st	1st	2nd	3rd	9	639	2	1
4	Mandela meets Nkrumah	ESL	1st	3rd	1st	2nd	9	629	2	1
5	The only time we are glad to pay	ESL	2nd	2nd	2nd	2nd	8	641	0	4
6	Phoenix	ESL	2nd	4th	1st	1st	8	633	2	1
7	Kali		1st	2nd	1st	4th	8	631	2	1
8	Vienna A	ESL	3rd	1st	3rd	1st	8	630	2	0
9	BNI		1st	1st	4th	3rd	7	635	2	0
10	A good guy and a bad one	ESL	3rd	3rd	1st	2nd	7	634	1	1
11	Breaking hearts and tabs		3rd	3rd	2nd	1st	7	626	1	1
12	Black Panther	ESL	2nd	4th	1st	2nd	7	616	1	2
13	Sofia B	ESL	2nd	2nd	2nd	4th	6	636	0	3
14	Alcoholists Anonymous	ESL	1st	3rd	4th	2nd	6	624	1	1
15	Swing 2		—	1st	—	1st	6	311	2	0
16	Coach and Child (guess who&#x27;s talle		4th	2nd	2nd	3rd	5	622	0	2
17	E&amp;A not EA	ESL	1st	4th	3rd	3rd	5	618	1	0
18	Imani	ESL	2nd	3rd	2nd	4th	5	616	0	2
19	A&amp;M		4th	1st	3rd	4th	4	613	1	0
20	Reichman A	ESL	4th	4th	2nd	2nd	4	613	0	2
21	Oxford LA		3rd	2nd	4th	3rd	4	612	0	1
22	Swing 3		—	—	1st	3rd	4	316	1	0
23	Lemi ata kore duvshania?	ESL	3rd	2nd	4th	4th	3	625	0	1
24	ASHS Jumbo Hotdog		3rd	4th	3rd	3rd	3	611	0	0
25	Domgladola	ESL	2nd	4th	3rd	—	3	463	0	1
26	Swing 1		1st	—	—	4th	3	315	1	0
27	Swing 4		—	—	—	1st	3	158	1	0
28	We move with an Audacious Faith	ESL	4th	4th	4th	2nd	2	599	0	1
29	Love, Light and barzz	ESL	4th	3rd	3rd	—	2	464	0	0
30	Asibolanga	ESL	—	2nd	4th	—	2	308	0	1
31	D.E.B.S.		4th	3rd	4th	4th	1	599	0	0
32	How many Phil Phil Phils could a P		4th	—	—	—	0	148	0	0
33=	Chicago MP		—	—	—	—	—	—	0	0
33=	Queenâs Gambit		—	—	—	—	—	—	0	0
33=	RUDF		—	—	—	—	—	—	0	0
