Rk	break	team	Pts	Spk	DSS	1sts	2nds
1	1	Open Matt and Paula	15	816.00	11852.00	5	0
2	2	Open Matt and Robi	13	813.00	11823.00	4	0
3	3	UPD AL	13	807.00	11822.00	3	2
4	4	Inner Temple B	12	811.00	11682.00	2	3
5	5	Open lubricated probe covers for m	12	809.00	11863.00	2	3
6	6	Open AS	12	794.00	11756.00	4	0
7	7	HH RK	12	781.00	11027.00	3	1
8	8	UPenn Belt and Road Initiative	11	808.00	11096.00	2	2
9	9	HUJI AA	11	806.00	11906.00	3	1
10	10	Liverpool AM	11	797.00	11620.00	3	0
11	11	Harvard the panda elephant tigers	11	796.00	11624.00	3	0
12	12	Vukovar A	11	793.00	11798.00	1	4
13	13	Oxford Friendship is Magic	11	793.00	11681.00	3	1
14	14	Usask SM	11	792.00	11546.00	2	2
15	15	Open Raman and Vanni	11	791.00	11757.00	2	2
16	16	EDS if we break we&#x27;ll get married :)	11	789.00	11614.00	2	2
17	17	HH BY	10	797.00	11852.00	2	2
18	18	UPenn China and Greater China	10	797.00	11315.00	2	1
19	19	USC 1	10	793.00	11178.00	3	0
20	20	UCL CD	10	790.00	11082.00	2	1
21	21	Malaya A	10	788.00	11770.00	1	3
22	22	we wood ruff yu up	10	787.00	11748.00	2	1
23	23	Malaya/Taylor&#x27;s SA	10	787.00	11650.00	2	2
24	(ineligible)	UWODS Tony	10	787.00	11528.00	2	1
25	24	Oxford B	10	787.00	11492.00	1	3
